parcel_number,taxable_building,taxable_land,market_value,zip_code
62121400,22879,4521,27400,19104
871286300,473333,118567,591900,19104
881603900,370580,158820,529400,19104
242176900,0,0,154600,19104
871125050,287200,71800,359000,19104
882969815,345200,86300,431500,19104
62102000,0,0,27100,19104
62323700,0,0,38100,19104
271140405,283511,141289,424800,19104
243139000,19670,10530,70200,19104
888270170,252110,44490,296600,19104
243127210,0,0,6400,19104
885070940,0,25900,25900,19104
243214400,16100,6900,23000,19104
61279900,0,4900,44900,19104
243019110,6325,8175,54500,19104
881115750,68352375,22784125,91136500,19104
881117772,2111060,904740,3015800,19104
241155200,186440,39960,266400,19104
62134300,18650,10350,69000,19104
62210500,0,11400,11400,19104
773521500,0,0,54766700,19104
62194400,0,14100,14100,19104
271149700,442850,78150,521000,19104
773076600,0,0,1427500,19104
243159300,0,9700,9700,19104
774547205,0,0,350600,19104
885080720,0,0,21100,19104
62316600,40545,7155,47700,19104
888110112,460100,74900,535000,19106
881006350,1146390,491310,1637700,19106
888500356,460400,88200,588600,19106
888058325,26900,5100,32000,19106
51025705,0,390800,390800,19106
51076200,1220100,522900,1743000,19106
51176810,1759790,767910,2559700,19106
871298770,1019440,254860,1274300,19106
888056546,184300,32500,216800,19106
888051994,172344,28956,241300,19106
51038420,433062,202638,675700,19106
888053533,377700,68000,485700,19106
888054651,640800,84100,764900,19106
888060184,248800,50900,339700,19106
51038420,433062,202638,675700,19106
888501246,0,474200,5928000,19106
888501204,0,264500,3307200,19106
881006225,12113,241200,2412000,19106
871058400,288720,72180,360900,19106
888054622,476500,63800,580300,19106
888054595,309900,43200,393100,19106
888056218,115800,27500,183300,19106
51154200,513350,237150,790500,19106
888110184,24940,4060,29000,19106
51067835,803832,361568,1205400,19106
52195010,122880,30720,153600,19106
781434600,0,0,77800,19106
51164800,472519,204181,716700,19106
888035246,407300,66200,473500,19106
888056278,175900,38000,253900,19106
888053552,25000,4000,29000,19106
871008650,433520,108380,541900,19106
884441700,136835,256565,393400,19106
888038690,341600,55600,397200,19106
52175200,316771,129429,446200,19106
888051841,365680,55320,461000,19106
888051959,190208,31392,261600,19106
888052216,233728,31872,265600,19106
52172085,356130,169770,565900,19106
888051995,212344,28956,241300,19106
888058361,26900,5100,32000,19106
888500200,1360400,221400,1581800,19106
882608800,561840,140460,702300,19106
52091600,0,0,701500,19106
888500086,220000,35800,255800,19106
888058344,26900,5100,32000,19106
871003700,364060,134800,674000,19106
888054624,563000,69500,632500,19106
888110094,590300,96000,686300,19106
888054705,752700,97900,890600,19106
51063100,1718920,748680,2495600,19106
882504500,321200,80300,401500,19106
883010600,1863920,465980,2329900,19106
51077730,357083,152917,510000,19106
55128245,723686,232514,956200,19106
888058464,26900,5100,32000,19106
888061620,179200,38600,257800,19106
888053506,264600,46600,311200,19106
888110040,293300,47700,341000,19106
52176310,1062163,472237,1574400,19106
51179400,583000,267000,890000,19106
52048300,603816,240684,844500,19106
888501230,0,224600,2808000,19106
51026000,0,483502,1696500,19106
882265300,2061280,515320,2576600,19106
888053556,25000,4000,29000,19106
888052149,268400,36600,305000,19106
888052040,542960,74040,617000,19106
888060168,256500,52300,348800,19106
888061680,210100,44100,294200,19106
888053551,25000,4000,29000,19106
888061036,240600,42400,283000,19106
51048000,508182,217718,725900,19106
888050945,276390,30710,307100,19106
888050941,204390,22710,227100,19106
888060264,295100,52000,347100,19106
888500086,220000,35800,255800,19106
888051772,219120,29880,249000,19106
53102410,939511,402589,1342100,19106
888060136,256500,52300,348800,19106
882260400,175520,43880,219400,19106
883842000,1500800,375200,1876000,19106
882265300,2061280,515320,2576600,19106
888051827,347200,52800,440000,19106
888058317,26900,5100,32000,19106
55009000,71162,113938,468500,19106
888051910,144760,19740,164500,19106
888058142,369180,70320,439500,19106
888061376,298600,52700,351300,19106
885886660,0,450000,450000,19106
888059106,292500,51600,344100,19106
888058436,26900,5100,32000,19106
51157300,327031,157269,524300,19106
888053468,168800,32100,200900,19106
888053613,362100,58900,421000,19106
888051568,343200,46800,390000,19106
885583400,0,0,154500,19106
51055950,0,0,228200,19106
885674760,0,0,489400,19106
888061078,179100,31600,210700,19106
888054033,149600,14700,164300,19107
888059476,189900,33500,223400,19107
888057570,140100,20000,200100,19107
888071914,239600,35800,275400,19107
883400300,11271920,2817980,14089900,19107
888057568,215200,28300,283500,19107
56296405,219857,60543,280400,19107
888112822,266200,50700,316900,19107
871060300,501440,125360,626800,19107
53019600,380253,162847,543100,19107
888071530,130600,19500,150100,19107
888112832,257700,49000,306700,19107
888072244,258300,28700,287000,19107
871027000,888724,540099,2700700,19107
871004400,633520,158380,791900,19107
888115848,81900,8000,89900,19107
53034200,162131,157069,523700,19107
885818880,0,354800,354800,19107
888115914,91000,8900,99900,19107
888103394,322700,35800,358500,19107
871508830,511760,127940,639700,19107
882626320,1285120,321280,1606400,19107
888038084,310764,46436,357200,19107
888071536,124200,18500,142700,19107
881011501,14525700,6225300,20751000,19107
881009050,808990,346710,1155700,19107
871509905,686800,171700,858500,19107
54008700,126252,40248,258000,19107
888112780,257700,49000,306700,19107
888050336,274900,27100,302000,19107
888110304,184200,27500,211700,19107
888057552,180100,20000,200100,19107
771023000,0,0,2969500,19107
56286925,110083,41317,191400,19107
883311000,5329920,1332480,6662400,19107
888071546,80900,18000,138900,19107
881012206,1935754,311310,3113100,19107
53034300,327200,140100,467300,19107
888053963,128100,12600,140700,19107
888054258,131700,13000,144700,19107
54116400,283303,121297,404600,19107
888112798,268300,51100,319400,19107
881515000,513380,220020,733400,19107
888059470,217400,38300,255700,19107
888042047,24700,4300,29000,19107
54278700,230581,115919,386500,19107
54245670,671760,305040,1016800,19107
881513500,547330,234570,781900,19107
888110432,179100,26700,205800,19107
885035660,0,0,586300,19107
888059750,266700,54100,360800,19107
871002150,542320,135580,677900,19107
53016310,409470,192630,642100,19107
888110288,153900,22900,176800,19107
882628000,896720,224180,1120900,19107
56030160,43500,23500,107000,19107
888072046,239600,35800,275400,19107
54272910,433146,172654,605800,19107
888094010,15621,124500,1245900,19107
888093876,624600,69400,694000,19107
888115508,78700,7700,86400,19107
56286745,114942,42558,197500,19107
888112816,257700,49000,306700,19107
888115858,89100,8800,97900,19107
884451300,501617,717583,1219200,19107
888038458,892500,157500,1050000,19107
888052299,207000,36500,243500,19107
888071810,144500,21600,166100,19107
888054248,128100,12600,140700,19107
888042028,258300,45500,303800,19107
882918000,1349520,337380,1686900,19107
53010200,1054852,469148,1564000,19107
871059400,404000,101000,505000,19107
888054099,110300,10900,121200,19107
888059616,296200,48200,344400,19107
54270600,219670,94130,313800,19107
771500000,0,0,47237800,19107
888059472,161900,35600,237500,19107
888112786,266200,50700,316900,19107
881007900,2298170,984930,3283100,19107
888054213,99700,9800,109500,19107
888112926,268300,51100,319400,19107
888050471,31850,3150,35000,19107
871027000,888724,540099,2700700,19107
54134530,682080,292320,974400,19107
883702001,61282333,7905830,76637300,19107
54130700,341390,146310,487700,19107
888103374,349300,38800,388100,19107
54259300,396410,169890,566300,19107
881517790,508480,217920,726400,19107
888054198,131700,13000,144700,19107
54007400,404499,74701,479200,19107
888054194,124600,12300,136900,19107
871000300,769879,202521,1012400,19107
888115814,82200,8100,90300,19107
888030568,275500,44800,320300,19107
252180700,12869,8131,41700,19107
871062650,869660,217440,1087100,19107
871004400,633520,158380,791900,19107
53015900,183081,78419,261500,19107
871166150,145600,36400,182000,19111
561449100,147218,26182,173400,19111
353211310,75570,49530,165100,19111
352209900,50569,20831,111400,19111
562000805,0,22500,22500,19111
632232252,180202,37898,218100,19111
532390200,80120,51480,171600,19111
531006400,108970,19230,128200,19111
561107400,145213,28487,173700,19111
532215100,81286,41514,162800,19111
352318700,29880,12720,82600,19111
352260900,54345,22855,117200,19111
562065016,325849,73451,439300,19111
632020200,176216,45484,261700,19111
561569400,175148,40552,215700,19111
531176800,92310,16290,108600,19111
631295300,149179,48121,237300,19111
631190600,166173,42327,208500,19111
532151800,82500,52500,175000,19111
561299500,163354,32046,195400,19111
561089800,131484,31216,202700,19111
532400000,78020,50580,168600,19111
532263400,123098,42802,165900,19111
631165405,187279,47621,234900,19111
531143200,126565,22335,148900,19111
631297600,130398,43402,213800,19111
532102600,82760,41140,163900,19111
532108300,68049,21351,129400,19111
352205300,81056,18644,99700,19111
532114000,147262,50338,197600,19111
561185900,137666,41134,218800,19111
631167400,163465,41635,205100,19111
631338300,134682,49218,223900,19111
531054100,135366,27334,162700,19111
531186100,116365,20535,136900,19111
532000900,81882,41718,163600,19111
778036100,0,0,3645300,19111
531220800,98565,19335,117900,19111
532116000,95070,46230,181300,19111
561460900,109906,34594,184500,19111
352236800,110487,25413,135900,19111
532311600,72350,48150,160500,19111
632226155,184053,38647,222700,19111
631025700,107800,49200,197000,19111
561521500,170601,39499,210100,19111
561089100,131484,31216,202700,19111
561171700,159611,28389,188000,19111
531094200,61745,17955,119700,19111
531053100,89675,15825,105500,19111
531111100,61278,26922,128200,19111
353031000,120507,30693,151200,19111
352155500,86260,19840,106100,19111
532279000,82500,52500,175000,19111
